iso3c,iso2c,country_code,country_name,eu27,un_region_name,un_sub_region_name,un_intermediate_region_name,un_region_clean,un_sub_region_clean,un_intermediate_region_clean,un_developed_or_developing_countries,kingdom,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage,is_cbd_party,wb_income_group,is_cbd_party_1,wb_income_group_1,is_ldc,is_sids
ISR,IL,IL,Israel,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Animalia,954090,424,5155384,13,6109911,15.62,0.01,84.38,True,High income,True,High income,False,False
THA,TH,TH,Thailand,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,30734,148439,5888466,13,6067652,0.51,2.45,97.05,True,Upper middle income,True,Upper middle income,False,False
PRT,PT,PT,Portugal,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,5174595,406855,480424,0,6061874,85.36,6.71,7.93,True,High income,True,High income,False,False
COL,CO,CO,Colombia,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,4653792,722445,343953,0,5720190,81.36,12.63,6.01,True,Upper middle income,True,Upper middle income,False,False
CHN,CN,CN,China,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developing,Plantae,4235899,12390,1428556,17,5676862,74.62,0.22,25.16,True,Upper middle income,True,Upper middle income,False,False
AUT,AT,AT,Austria,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,3709104,1218894,697369,0,5625367,65.94,21.67,12.4,True,High income,True,High income,False,False
USA,US,US,United States,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Fungi,4785654,68447,730575,8,5584684,85.69,1.23,13.08,False,High income,False,High income,False,False
GBR,GB,GB,United Kingdom,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,4849940,49888,270575,5,5170408,93.8,0.96,5.23,True,High income,True,High income,False,False
JPN,JP,JP,Japan,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developed,Plantae,4337575,145218,607199,0,5089992,85.22,2.85,11.93,True,High income,True,High income,False,False
KOR,KR,KR,"Korea, Republic of",FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developed,Animalia,3995389,19957,991703,0,5007049,79.8,0.4,19.81,True,High income,True,High income,False,False
GTM,GT,GT,Guatemala,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,37485,4470814,35378,1,4543678,0.82,98.4,0.78,True,Upper middle income,True,Upper middle income,False,False
EST,EE,EE,Estonia,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,4085027,216507,217363,0,4518897,90.4,4.79,4.81,True,High income,True,High income,False,False
KEN,KE,KE,Kenya,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,359394,755802,3184049,0,4299245,8.36,17.58,74.06,True,Lower middle income,True,Lower middle income,False,False
CHN,CN,CN,China,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developing,Animalia,22172,72813,4058129,24,4153138,0.53,1.75,97.71,True,Upper middle income,True,Upper middle income,False,False
ITA,IT,IT,Italy,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,143955,1015291,2854646,18,4013910,3.59,25.29,71.12,True,High income,True,High income,False,False
VEN,VE,VE,"Venezuela, Bolivarian Republic of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,157152,3741738,83672,2,3982564,3.95,93.95,2.1,True,Lower middle income,True,Lower middle income,False,False
IRL,IE,IE,Ireland,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,1599348,664813,1603293,0,3867454,41.35,17.19,41.46,True,High income,True,High income,False,False
PRI,PR,PR,Puerto Rico,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,6207,3754903,35092,0,3796202,0.16,98.91,0.92,,,,,,
NZL,NZ,NZ,New Zealand,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Plantae,2391130,67160,1162316,0,3620606,66.04,1.85,32.1,True,High income,True,High income,False,False
ZAF,ZA,ZA,South Africa,FALSE,Africa,Sub-Saharan Africa,Southern Africa,Africa,Sub-Saharan-Africa,Southern-Africa,Developing,Plantae,1194493,1087,2406033,0,3601613,33.17,0.03,66.8,True,Upper middle income,True,Upper middle income,False,False
HND,HN,HN,Honduras,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,0,3329341,74528,0,3403869,0.0,97.81,2.19,True,Lower middle income,True,Lower middle income,False,False
ITA,IT,IT,Italy,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,858336,1657330,737335,2,3253003,26.39,50.95,22.67,True,High income,True,High income,False,False
CZE,CZ,CZ,Czech Republic,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,2987,135971,3101410,173,3240541,0.09,4.2,95.71,True,High income,True,High income,False,False
MYS,MY,MY,Malaysia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,3640,71999,3145856,20,3221515,0.11,2.23,97.65,True,Upper middle income,True,Upper middle income,False,False
TUR,TR,TR,Turkey,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Animalia,0,2988,3162855,18,3165861,0.0,0.09,99.91,True,Upper middle income,True,Upper middle income,False,False
IDN,ID,ID,Indonesia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,34219,93629,2978821,14,3106683,1.1,3.01,95.88,True,Upper middle income,True,Upper middle income,False,False
AUS,AU,AU,Australia,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Bacteria,83730,391,2948160,0,3032281,2.76,0.01,97.23,True,High income,True,High income,False,False
NLD,NL,NL,Netherlands,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Fungi,2878491,34559,39780,0,2952830,97.48,1.17,1.35,True,High income,True,High income,False,False
,,,,,,,,,,,,Chromista,0,0,2685486,1,2685487,0.0,0.0,100.0,,,,,,
GRC,GR,GR,Greece,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,18274,719055,1817078,39,2554446,0.72,28.15,71.13,True,High income,True,High income,False,False
ATA,AQ,AQ,Antarctica,FALSE,,,,,,,,Animalia,23714,0,2517001,0,2540715,0.93,0.0,99.07,,,,,,
,,,,,,,,,,,,incertae sedis,0,0,2365528,8,2365536,0.0,0.0,100.0,,,,,,
PHL,PH,PH,Philippines,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,14866,64845,2230593,0,2310304,0.64,2.81,96.55,True,Lower middle income,True,Lower middle income,False,False
,,,,,,,,,,,,Bacteria,0,0,2291328,0,2291328,0.0,0.0,100.0,,,,,,
TZA,TZ,TZ,"Tanzania, United Republic of",FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,35729,28951,2223699,0,2288379,1.56,1.27,97.17,True,Lower middle income,True,Lower middle income,True,False
UGA,UG,UG,Uganda,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,152019,29849,2051214,1,2233083,6.81,1.34,91.86,True,Low income,True,Low income,True,False
NOR,NO,NO,Norway,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,1869438,255505,43960,46,2168949,86.19,11.78,2.03,True,High income,True,High income,False,False
LUX,LU,LU,Luxembourg,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,1891787,85776,171821,0,2149384,88.02,3.99,7.99,True,High income,True,High income,False,False
LKA,LK,LK,Sri Lanka,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Animalia,0,2690,2139036,1,2141727,0.0,0.13,99.87,True,Lower middle income,True,Lower middle income,False,False
AUS,AU,AU,Australia,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Fungi,1590344,4435,515909,0,2110688,75.35,0.21,24.44,True,High income,True,High income,False,False
KOR,KR,KR,"Korea, Republic of",FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developed,Plantae,1859465,5399,126133,0,1990997,93.39,0.27,6.34,True,High income,True,High income,False,False
USA,US,US,United States,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Chromista,899381,19211,1065944,0,1984536,45.32,0.97,53.71,False,High income,False,High income,False,False
ARE,AE,AE,United Arab Emirates,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Animalia,0,47,1963874,0,1963921,0.0,0.0,100.0,True,High income,True,High income,False,False
MDG,MG,MG,Madagascar,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,21794,13164,1864520,4309,1903787,1.14,0.69,97.94,True,Low income,True,Low income,True,False
UKR,UA,UA,Ukraine,FALSE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,726428,219983,926960,2,1873373,38.78,11.74,49.48,True,Upper middle income,True,Upper middle income,False,False
AUS,AU,AU,Australia,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Chromista,1055035,776,802256,0,1858067,56.78,0.04,43.18,True,High income,True,High income,False,False
DNK,DK,DK,Denmark,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Bacteria,1741897,99776,248,0,1841921,94.57,5.42,0.01,True,High income,True,High income,False,False
NIC,NI,NI,Nicaragua,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,111278,1685162,20547,2,1816989,6.12,92.74,1.13,True,Lower middle income,True,Lower middle income,False,False
TWN,TW,TW,"Taiwan, Province of China",FALSE,,,,,,,,Plantae,692482,0,1097412,0,1789894,38.69,0.0,61.31,,,,,,
BGR,BG,BG,Bulgaria,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,476313,237144,1043124,2,1756583,27.12,13.5,59.38,True,High income,True,High income,False,False
CUB,CU,CU,Cuba,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,4802,1698678,49118,0,1752598,0.27,96.92,2.8,True,Upper middle income,True,Upper middle income,False,True
PER,PE,PE,Peru,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,15793,1170949,563651,0,1750393,0.9,66.9,32.2,True,Upper middle income,True,Upper middle income,False,False
EST,EE,EE,Estonia,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,1691079,28236,5883,0,1725198,98.02,1.64,0.34,True,High income,True,High income,False,False
HKG,HK,HK,Hong Kong,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developing,Animalia,707,887,1700422,0,1702016,0.04,0.05,99.91,,,,,,
HUN,HU,HU,Hungary,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,405868,321370,969533,1,1696772,23.92,18.94,57.14,True,High income,True,High income,False,False
EST,EE,EE,Estonia,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,1619109,33403,19790,35,1672337,96.82,2.0,1.18,True,High income,True,High income,False,False
SGP,SG,SG,Singapore,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,479,2158,1650938,2,1653577,0.03,0.13,99.84,True,High income,True,High income,False,True
URY,UY,UY,Uruguay,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,15043,1610818,17421,0,1643282,0.92,98.02,1.06,True,High income,True,High income,False,False
ECU,EC,EC,Ecuador,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,135722,1103438,377583,0,1616743,8.39,68.25,23.35,True,Upper middle income,True,Upper middle income,False,False
UKR,UA,UA,Ukraine,FALSE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Plantae,733208,194733,674973,212,1603126,45.74,12.15,42.1,True,Upper middle income,True,Upper middle income,False,False
ISL,IS,IS,Iceland,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,11339,222606,1317834,0,1551779,0.73,14.35,84.92,True,High income,True,High income,False,False
DNK,DK,DK,Denmark,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,1446522,67893,36170,1,1550586,93.29,4.38,2.33,True,High income,True,High income,False,False
IND,IN,IN,India,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Plantae,475266,8631,1064125,2,1548024,30.7,0.56,68.74,True,Lower middle income,True,Lower middle income,False,False
BOL,BO,BO,"Bolivia, Plurinational State of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,4292,1435986,73584,15,1513877,0.28,94.85,4.86,True,Lower middle income,True,Lower middle income,False,False
PNG,PG,PG,Papua New Guinea,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,Animalia,177511,180795,1027631,3,1385940,12.81,13.04,74.15,True,Lower middle income,True,Lower middle income,False,True
NAM,NA,,Namibia,FALSE,Africa,Sub-Saharan Africa,Southern Africa,Africa,Sub-Saharan-Africa,Southern-Africa,Developing,Animalia,9732,234541,1087325,0,1331598,0.73,17.61,81.66,True,Lower middle income,True,Lower middle income,False,False
ALA,AX,AX,Aland Islands,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,0,1293788,31049,0,1324837,0.0,97.66,2.34,,,,,,
CRI,CR,CR,Costa Rica,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Plantae,535345,631726,144050,0,1311121,40.83,48.18,10.99,True,High income,True,High income,False,False
MAR,MA,MA,Morocco,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,Animalia,0,147,1300557,0,1300704,0.0,0.01,99.99,True,Lower middle income,True,Lower middle income,False,False
SVK,SK,SK,Slovakia,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Plantae,1016256,172270,80944,3,1269473,80.05,13.57,6.38,True,High income,True,High income,False,False
ARG,AR,AR,Argentina,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,484126,570761,198474,0,1253361,38.63,45.54,15.84,True,Upper middle income,True,Upper middle income,False,False
NPL,NP,NP,Nepal,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Animalia,6138,11593,1212439,141,1230311,0.5,0.94,98.55,True,Lower middle income,True,Lower middle income,True,False
PRY,PY,PY,Paraguay,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,0,1177882,47796,2,1225680,0.0,96.1,3.9,True,Upper middle income,True,Upper middle income,False,False
,,,,,,,,,,,,Fungi,0,0,1224397,932,1225329,0.0,0.0,99.92,,,,,,
FIN,FI,FI,Finland,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,699404,346644,178514,97,1224659,57.11,28.31,14.58,True,High income,True,High income,False,False
USA,US,US,United States,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,incertae sedis,928620,4563,276199,0,1209382,76.78,0.38,22.84,False,High income,False,High income,False,False
CHN,CN,CN,China,FALSE,Asia,Eastern Asia,,Asia,Eastern-Asia,,Developing,Bacteria,0,142,1206409,0,1206551,0.0,0.01,99.99,True,Upper middle income,True,Upper middle income,False,False
FRA,FR,FR,France,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Chromista,1004462,163886,13071,0,1181419,85.02,13.87,1.11,True,High income,True,High income,False,False
LUX,LU,LU,Luxembourg,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Plantae,1036159,59966,79688,0,1175813,88.12,5.1,6.78,True,High income,True,High income,False,False
FRA,FR,FR,France,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Fungi,936160,124195,114070,8,1174433,79.71,10.57,9.71,True,High income,True,High income,False,False
IDN,ID,ID,Indonesia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Plantae,49543,20115,1093107,0,1162765,4.26,1.73,94.01,True,Upper middle income,True,Upper middle income,False,False
CHE,CH,CH,Switzerland,FALSE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Fungi,1058494,46794,54764,32,1160084,91.24,4.03,4.72,True,High income,True,High income,False,False
CAN,CA,CA,Canada,FALSE,Americas,Northern America,,Americas,Northern-America,,Developed,Fungi,351333,529847,272583,26,1153789,30.45,45.92,23.63,True,High income,True,High income,False,False
TTO,TT,TT,Trinidad and Tobago,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,36038,1082318,22026,0,1140382,3.16,94.91,1.93,True,High income,True,High income,False,True
ISR,IL,IL,Israel,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Plantae,927931,13,211226,0,1139170,81.46,0.0,18.54,True,High income,True,High income,False,False
DEU,DE,DE,Germany,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Fungi,548848,311548,276761,204,1137361,48.26,27.39,24.33,True,High income,True,High income,False,False
IMN,IM,IM,Isle of Man,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,561519,222419,352494,0,1136432,49.41,19.57,31.02,,,,,,
SLV,SV,SV,El Salvador,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Animalia,0,1114780,15648,0,1130428,0.0,98.62,1.38,True,Upper middle income,True,Upper middle income,False,False
PRT,PT,PT,Portugal,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Chromista,999927,116068,10732,0,1126727,88.75,10.3,0.95,True,High income,True,High income,False,False
NZL,NZ,NZ,New Zealand,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Bacteria,4872,163,1108913,0,1113948,0.44,0.01,99.55,True,High income,True,High income,False,False
MDG,MG,MG,Madagascar,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Plantae,49201,1051,1058866,0,1109118,4.44,0.09,95.47,True,Low income,True,Low income,True,False
BOL,BO,BO,"Bolivia, Plurinational State of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,0,864774,213139,0,1077913,0.0,80.23,19.77,True,Lower middle income,True,Lower middle income,False,False
ESP,ES,ES,Spain,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Fungi,738490,257588,67566,2,1063646,69.43,24.22,6.35,True,High income,True,High income,False,False
ESP,ES,ES,Spain,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Bacteria,927642,103341,10172,0,1041155,89.1,9.93,0.98,True,High income,True,High income,False,False
BHS,BS,BS,Bahamas,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,0,1005682,25367,0,1031049,0.0,97.54,2.46,True,High income,True,High income,False,True
,,,,,,,,,,,,Plantae,3572,0,1001089,15,1004676,0.36,0.0,99.64,,,,,,
GEO,GE,GE,Georgia,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Animalia,6016,86,991856,5,997963,0.6,0.01,99.39,True,Upper middle income,True,Upper middle income,False,False
AUT,AT,AT,Austria,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Fungi,820461,84787,84080,10,989338,82.93,8.57,8.5,True,High income,True,High income,False,False
CZE,CZ,CZ,Czech Republic,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Plantae,152214,507954,319914,141,980223,15.53,51.82,32.64,True,High income,True,High income,False,False
LTU,LT,LT,Lithuania,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Animalia,8078,523997,431637,0,963712,0.84,54.37,44.79,True,High income,True,High income,False,False
KHM,KH,KH,Cambodia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,26844,6636,912582,0,946062,2.84,0.7,96.46,True,Lower middle income,True,Lower middle income,True,False
HRV,HR,HR,Croatia,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,64749,294404,555205,16,914374,7.08,32.2,60.72,True,High income,True,High income,False,False
SWE,SE,SE,Sweden,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Chromista,868842,37015,4583,0,910440,95.43,4.07,0.5,True,High income,True,High income,False,False
ROU,RO,RO,Romania,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Animalia,0,459450,422372,8,881830,0.0,52.1,47.9,True,High income,True,High income,False,False
NGA,NG,NG,Nigeria,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Animalia,591351,6409,277825,2,875587,67.54,0.73,31.73,True,Lower middle income,True,Lower middle income,False,False
IRL,IE,IE,Ireland,TRUE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Plantae,503359,279425,59091,0,841875,59.79,33.19,7.02,True,High income,True,High income,False,False
SRB,RS,RS,Serbia,FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Animalia,2153,79510,754281,0,835944,0.26,9.51,90.23,True,Upper middle income,True,Upper middle income,False,False
BWA,BW,BW,Botswana,FALSE,Africa,Sub-Saharan Africa,Southern Africa,Africa,Sub-Saharan-Africa,Southern-Africa,Developing,Animalia,6747,95471,727469,0,829687,0.81,11.51,87.68,True,Upper middle income,True,Upper middle income,False,False
GRC,GR,GR,Greece,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,339,647727,175810,64,823940,0.04,78.61,21.34,True,High income,True,High income,False,False
GHA,GH,GH,Ghana,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Animalia,8369,9581,798530,0,816480,1.03,1.17,97.8,True,Lower middle income,True,Lower middle income,False,False
DEU,DE,DE,Germany,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Bacteria,8890,737748,52968,0,799606,1.11,92.26,6.62,True,High income,True,High income,False,False
ZWE,ZW,ZW,Zimbabwe,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,49135,150504,592862,0,792501,6.2,18.99,74.81,True,Lower middle income,True,Lower middle income,False,False
PNG,PG,PG,Papua New Guinea,FALSE,Oceania,Melanesia,,Oceania,Melanesia,,Developing,Plantae,1100,288658,492840,0,782598,0.14,36.88,62.97,True,Lower middle income,True,Lower middle income,False,True
BEN,BJ,BJ,Benin,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Plantae,640781,25891,109512,0,776184,82.56,3.34,14.11,True,Lower middle income,True,Lower middle income,True,False
ETH,ET,ET,Ethiopia,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,735,4410,762292,0,767437,0.1,0.57,99.33,True,Low income,True,Low income,True,False
ZMB,ZM,ZM,Zambia,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,2315,39786,722473,0,764574,0.3,5.2,94.49,True,Lower middle income,True,Lower middle income,True,False
DOM,DO,DO,Dominican Republic,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,12371,721739,24460,0,758570,1.63,95.14,3.22,True,Upper middle income,True,Upper middle income,False,True
VNM,VN,VN,Viet Nam,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Animalia,3530,24946,721520,2,749998,0.47,3.33,96.2,True,Lower middle income,True,Lower middle income,False,False
MYS,MY,MY,Malaysia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Plantae,497,32291,713700,0,746488,0.07,4.33,95.61,True,Upper middle income,True,Upper middle income,False,False
VIR,VI,VI,"Virgin Islands, U.S.",FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,0,734645,7997,0,742642,0.0,98.92,1.08,,,,,,
GUF,GF,GF,French Guiana,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,3852,304769,423714,2,732337,0.53,41.62,57.86,,,,,,
IRN,IR,IR,"Iran, Islamic Republic of",FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Animalia,2216,1326,719658,17,723217,0.31,0.18,99.51,True,Upper middle income,True,Upper middle income,False,False
GMB,GM,GM,Gambia,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Animalia,0,406,715713,0,716119,0.0,0.06,99.94,True,Low income,True,Low income,True,False
GBR,GB,GB,United Kingdom,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Chromista,671651,26628,15976,0,714255,94.04,3.73,2.24,True,High income,True,High income,False,False
RUS,RU,RU,Russian Federation,FALSE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Fungi,172259,335737,203771,2,711769,24.2,47.17,28.63,True,High income,True,High income,False,False
JAM,JM,JM,Jamaica,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,4263,681529,23357,2,709151,0.6,96.1,3.29,True,Upper middle income,True,Upper middle income,False,True
GUY,GY,GY,Guyana,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Animalia,6787,649517,42625,0,698929,0.97,92.93,6.1,True,High income,True,High income,False,True
NLD,NL,NL,Netherlands,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Chromista,613286,77060,1509,0,691855,88.64,11.14,0.22,True,High income,True,High income,False,False
AUS,AU,AU,Australia,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,incertae sedis,497109,220,192143,0,689472,72.1,0.03,27.87,True,High income,True,High income,False,False
VEN,VE,VE,"Venezuela, Bolivarian Republic of",FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Plantae,88862,468199,124692,0,681753,13.03,68.68,18.29,True,Lower middle income,True,Lower middle income,False,False
COD,CD,CD,"Congo, the Democratic Republic of the",FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Plantae,6782,1443,663352,0,671577,1.01,0.21,98.78,True,Low income,True,Low income,True,False
BGD,BD,BD,Bangladesh,FALSE,Asia,Southern Asia,,Asia,Southern-Asia,,Developing,Animalia,133,263,641863,0,642259,0.02,0.04,99.94,True,Lower middle income,True,Lower middle income,True,False
