iso3c,iso2c,country_code,country_name,eu27,un_region_name,un_sub_region_name,un_intermediate_region_name,un_region_clean,un_sub_region_clean,un_intermediate_region_clean,un_developed_or_developing_countries,kingdom,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage,is_cbd_party,wb_income_group,is_cbd_party_1,wb_income_group_1,is_ldc,is_sids
SOM,SO,SO,Somalia,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Plantae,852,619,43241,0,44712,1.91,1.38,96.71,True,Low income,True,Low income,True,False
SRB,RS,RS,Serbia,FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,0,28891,15664,0,44555,0.0,64.84,35.16,True,Upper middle income,True,Upper middle income,False,False
COG,CG,CG,Congo,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Plantae,0,988,43007,0,43995,0.0,2.25,97.75,True,Lower middle income,True,Lower middle income,False,False
LBN,LB,LB,Lebanon,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Plantae,4845,336,38539,0,43720,11.08,0.77,88.15,True,Lower middle income,True,Lower middle income,False,False
OMN,OM,OM,Oman,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Chromista,0,786,42199,0,42985,0.0,1.83,98.17,True,High income,True,High income,False,False
ALB,AL,AL,Albania,FALSE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Plantae,0,24921,17787,0,42708,0.0,58.35,41.65,True,Upper middle income,True,Upper middle income,False,False
JOR,JO,JO,Jordan,FALSE,Asia,Western Asia,,Asia,Western-Asia,,Developing,Plantae,0,4051,38477,0,42528,0.0,9.53,90.47,True,Lower middle income,True,Lower middle income,False,False
MEX,MX,MX,Mexico,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,incertae sedis,0,24567,17889,0,42456,0.0,57.86,42.14,True,Upper middle income,True,Upper middle income,False,False
GRC,GR,GR,Greece,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,Fungi,0,35120,7188,9,42317,0.0,82.99,16.99,True,High income,True,High income,False,False
FRO,FO,FO,Faroe Islands,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Chromista,0,41935,276,0,42211,0.0,99.35,0.65,,,,,,
