un_developed_or_developing_countries,internal_count,regional_count,sub_regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,sub_regional_percentage,external_percentage
Developed,1087025479,30285381,186977693,230831536,137217,1535257306,70.8,1.97,12.18,15.04
Developing,86647746,173625002,4548887,168823350,5919,433650904,19.98,40.04,1.05,38.93
