lat,lon,source_type,record_count
-25.9,-48.6,INTERNAL,1243
-23.6,-46.7,INTERNAL,1227
-21.0,-42.0,REGIONAL,1224
-0.9,-44.3,INTERNAL,1218
-15.8,-48.1,REGIONAL,1217
-22.5,-43.0,REGIONAL,1210
-26.9,-48.6,REGIONAL,1208
-23.4,-44.7,INTERNAL,1207
-23.0,-43.4,REGIONAL,1202
-20.5,-41.0,REGIONAL,1199
-27.1,-48.8,REGIONAL,1197
-22.8,-51.2,INTERNAL,1184
-22.4,-42.8,REGIONAL,1178
-26.2,-48.8,INTERNAL,1163
-23.8,-45.4,REGIONAL,1159
-28.1,-51.2,REGIONAL,1155
-13.0,-38.5,REGIONAL,1154
-24.3,-46.2,INTERNAL,1152
-23.2,-45.0,INTERNAL,1145
-20.7,-38.6,EXTERNAL,1121
-25.6,-43.5,EXTERNAL,1106
-23.2,-45.3,INTERNAL,1098
-3.7,-38.5,REGIONAL,1097
0.0,0.0,REGIONAL,1092
-20.0,-43.9,REGIONAL,1092
-3.9,-32.4,INTERNAL,1090
-22.5,-43.1,REGIONAL,1082
-23.1,-46.6,REGIONAL,1072
-23.0,-43.5,REGIONAL,1072
-15.6,-47.7,INTERNAL,1069
-22.9,-51.0,INTERNAL,1056
-6.0,-35.1,EXTERNAL,1052
-20.5,-54.6,REGIONAL,1047
-16.5,-56.7,REGIONAL,1042
-22.8,-51.5,INTERNAL,1040
-4.8,-36.6,INTERNAL,1039
-23.4,-51.3,INTERNAL,1035
-24.0,-46.7,INTERNAL,1033
-24.0,-46.4,REGIONAL,1033
-22.9,-47.1,REGIONAL,1024
-15.7,-47.8,REGIONAL,1024
-22.6,-43.0,REGIONAL,1022
0.2,-39.9,EXTERNAL,1017
-24.3,-48.4,REGIONAL,1012
-22.0,-47.9,REGIONAL,1010
-23.0,-42.0,REGIONAL,1009
-26.8,-48.6,REGIONAL,997
-7.9,-14.3,INTERNAL,996
-6.1,-50.1,REGIONAL,987
-25.5,-49.3,REGIONAL,980
-25.5,-54.6,REGIONAL,979
-23.9,-45.3,INTERNAL,970
-27.0,-48.6,REGIONAL,967
-9.6,-35.7,REGIONAL,966
-23.9,-46.2,INTERNAL,959
-24.2,-47.9,INTERNAL,954
-15.8,-48.0,REGIONAL,954
-8.7,-35.9,REGIONAL,952
-22.9,-43.3,REGIONAL,949
-22.9,-42.0,REGIONAL,944
-23.8,-45.8,INTERNAL,940
-12.8,-38.6,INTERNAL,938
-22.9,-43.4,REGIONAL,937
-14.2,-51.6,REGIONAL,936
-27.6,-48.6,REGIONAL,934
-11.6,-42.6,EXTERNAL,933
-20.4,-40.7,REGIONAL,930
-25.8,-53.6,REGIONAL,928
-29.7,-53.8,REGIONAL,927
-22.4,-47.6,REGIONAL,925
-6.6,-37.3,INTERNAL,925
-2.4,-54.7,REGIONAL,922
-7.6,-72.7,REGIONAL,917
-23.5,-45.1,REGIONAL,916
-29.7,-53.6,REGIONAL,916
-9.6,-34.3,EXTERNAL,910
-3.6,-38.4,INTERNAL,909
-23.6,-45.2,INTERNAL,905
-22.3,-47.2,INTERNAL,895
-27.8,-48.5,REGIONAL,887
-10.3,-62.9,EXTERNAL,887
-25.5,-48.7,INTERNAL,885
-7.1,-37.3,INTERNAL,885
-16.1,-47.8,REGIONAL,880
-23.8,-46.7,REGIONAL,877
-25.5,-49.2,REGIONAL,873
-23.7,-46.7,REGIONAL,857
-23.3,-46.6,REGIONAL,855
-7.9,-34.8,REGIONAL,844
-4.0,-38.6,REGIONAL,843
-23.5,-46.4,REGIONAL,839
-25.5,-48.6,INTERNAL,839
-7.1,-34.8,REGIONAL,839
-8.6,-37.3,INTERNAL,830
-25.5,-43.4,EXTERNAL,829
-3.6,-35.2,EXTERNAL,827
-29.6,-53.7,REGIONAL,816
-27.1,-49.0,REGIONAL,814
-1.1,-52.6,INTERNAL,812
-23.3,-46.7,REGIONAL,811
-7.1,-34.9,REGIONAL,810
-25.4,-48.3,INTERNAL,806
-25.4,-48.7,INTERNAL,804
-22.8,-46.9,REGIONAL,804
-30.4,-50.3,INTERNAL,803
-23.6,-46.6,EXTERNAL,798
-20.3,-41.1,REGIONAL,792
-22.6,-43.1,REGIONAL,777
-16.8,-49.3,REGIONAL,773
-23.2,-46.9,REGIONAL,772
-24.0,-46.3,REGIONAL,771
-12.8,-38.5,INTERNAL,766
-12.6,-38.0,REGIONAL,764
-23.8,-45.2,INTERNAL,761
-17.3,-56.7,REGIONAL,759
-22.5,-43.2,REGIONAL,751
-23.0,-43.5,INTERNAL,749
-23.1,-44.7,INTERNAL,749
-20.9,-40.6,INTERNAL,744
-22.5,-46.6,REGIONAL,744
-9.6,-35.8,REGIONAL,743
-11.5,-42.5,EXTERNAL,739
-20.4,-38.6,EXTERNAL,739
-23.6,-46.9,REGIONAL,739
-21.2,-47.8,REGIONAL,737
-20.4,-49.3,INTERNAL,729
-6.6,-65.8,INTERNAL,729
-1.5,-56.4,EXTERNAL,729
-20.4,-44.5,REGIONAL,728
-23.3,-44.9,INTERNAL,728
-22.9,-45.5,INTERNAL,725
-23.0,-43.3,INTERNAL,725
-3.8,-32.4,REGIONAL,724
3.2,-60.4,INTERNAL,718
-23.4,-45.1,REGIONAL,718
-20.0,-44.0,REGIONAL,714
-25.5,-48.5,INTERNAL,714
-23.8,-45.7,INTERNAL,709
-23.4,-51.9,REGIONAL,708
-23.5,-45.0,INTERNAL,705
-15.4,-39.6,REGIONAL,702
-22.3,-49.0,INTERNAL,701
-22.8,-47.3,REGIONAL,701
-21.1,-47.8,INTERNAL,692
-27.7,-48.8,REGIONAL,691
-23.0,-42.7,INTERNAL,690
-2.9,-60.0,REGIONAL,688
-20.5,-29.5,INTERNAL,688
-12.9,-38.5,INTERNAL,687
-7.1,-38.5,REGIONAL,686
-20.4,-49.2,INTERNAL,686
-25.1,-47.9,INTERNAL,686
-23.0,-43.0,INTERNAL,686
-27.5,-48.4,INTERNAL,681
-15.9,-46.1,REGIONAL,680
