lat,lon,source_type,record_count,countrycode,country_name,wb_income_group
-22.9,-47.0,REGIONAL,1960,BR,Brazil,Upper middle income
-23.4,-46.6,REGIONAL,1958,BR,Brazil,Upper middle income
-27.7,-48.5,REGIONAL,1956,XX,Unknown,Not classified
-30.0,-51.1,REGIONAL,1950,BR,Brazil,Upper middle income
-24.0,-46.3,INTERNAL,1934,BR,Brazil,Upper middle income
-27.1,-48.5,INTERNAL,1916,BR,Brazil,Upper middle income
-30.0,-51.2,REGIONAL,1914,BR,Brazil,Upper middle income
-23.4,-45.1,INTERNAL,1907,BR,Brazil,Upper middle income
-23.8,-46.3,REGIONAL,1876,BR,Brazil,Upper middle income
-21.8,-41.3,REGIONAL,1871,BR,Brazil,Upper middle income
-32.0,-52.3,REGIONAL,1865,BR,Brazil,Upper middle income
-20.4,-40.3,REGIONAL,1856,XX,Unknown,Not classified
-5.9,-35.2,REGIONAL,1846,BR,Brazil,Upper middle income
-26.4,-48.6,INTERNAL,1825,BR,Brazil,Upper middle income
-23.0,-43.2,INTERNAL,1816,XX,Unknown,Not classified
-23.7,-47.1,INTERNAL,1798,BR,Brazil,Upper middle income
-3.0,-59.9,REGIONAL,1771,BR,Brazil,Upper middle income
-21.1,-49.5,INTERNAL,1762,BR,Brazil,Upper middle income
-9.9,-56.1,REGIONAL,1753,BR,Brazil,Upper middle income
-8.6,-37.2,INTERNAL,1740,BR,Brazil,Upper middle income
-30.1,-51.2,REGIONAL,1739,BR,Brazil,Upper middle income
-23.6,-45.4,INTERNAL,1722,BR,Brazil,Upper middle income
-23.6,-46.5,REGIONAL,1714,BR,Brazil,Upper middle income
-8.5,-37.2,INTERNAL,1706,BR,Brazil,Upper middle income
-23.5,-46.7,REGIONAL,1695,BR,Brazil,Upper middle income
-8.4,-37.3,INTERNAL,1684,BR,Brazil,Upper middle income
-23.0,-44.6,INTERNAL,1673,BR,Brazil,Upper middle income
-22.3,-41.6,INTERNAL,1648,XX,Unknown,Not classified
-8.5,-34.0,EXTERNAL,1647,XX,Unknown,Not classified
-19.2,-40.1,REGIONAL,1638,BR,Brazil,Upper middle income
-17.9,-38.7,INTERNAL,1632,XX,Unknown,Not classified
-28.5,-48.8,REGIONAL,1628,XX,Unknown,Not classified
-23.4,-45.0,INTERNAL,1615,BR,Brazil,Upper middle income
-27.1,-48.9,REGIONAL,1603,BR,Brazil,Upper middle income
-30.1,-51.1,REGIONAL,1601,BR,Brazil,Upper middle income
-22.3,-42.5,REGIONAL,1600,BR,Brazil,Upper middle income
-26.8,-49.3,REGIONAL,1596,BR,Brazil,Upper middle income
-22.8,-47.1,REGIONAL,1563,BR,Brazil,Upper middle income
-23.0,-50.9,INTERNAL,1546,BR,Brazil,Upper middle income
-25.4,-49.0,REGIONAL,1527,BR,Brazil,Upper middle income
-26.8,-48.7,REGIONAL,1512,BR,Brazil,Upper middle income
-23.0,-44.1,INTERNAL,1490,BR,Brazil,Upper middle income
-20.8,-42.9,REGIONAL,1473,BR,Brazil,Upper middle income
-8.9,-36.5,REGIONAL,1470,BR,Brazil,Upper middle income
-22.9,-42.0,INTERNAL,1454,BR,Brazil,Upper middle income
-11.4,-42.6,EXTERNAL,1447,BR,Brazil,Upper middle income
-23.8,-46.0,INTERNAL,1440,BR,Brazil,Upper middle income
-20.6,-40.4,REGIONAL,1430,XX,Unknown,Not classified
-8.0,-35.0,REGIONAL,1423,BR,Brazil,Upper middle income
-18.0,-38.7,REGIONAL,1417,XX,Unknown,Not classified
-19.9,-43.9,REGIONAL,1415,BR,Brazil,Upper middle income
-19.1,-40.1,REGIONAL,1402,BR,Brazil,Upper middle income
-27.8,-48.4,INTERNAL,1384,XX,Unknown,Not classified
-29.9,-50.3,REGIONAL,1345,BR,Brazil,Upper middle income
-23.7,-46.5,REGIONAL,1339,BR,Brazil,Upper middle income
-5.2,-37.3,REGIONAL,1331,BR,Brazil,Upper middle income
-19.9,-45.0,REGIONAL,1331,BR,Brazil,Upper middle income
-25.9,-48.7,INTERNAL,1327,BR,Brazil,Upper middle income
-31.9,-52.1,INTERNAL,1320,BR,Brazil,Upper middle income
-25.8,-48.7,INTERNAL,1314,BR,Brazil,Upper middle income
-5.5,-36.2,EXTERNAL,1309,BR,Brazil,Upper middle income
-20.6,-40.4,INTERNAL,1297,XX,Unknown,Not classified
-23.7,-45.4,INTERNAL,1282,BR,Brazil,Upper middle income
